recording,offset_s,matched,n_rows
10-003,0,264,264
10-005,1,340,340
10-007,2,245,245
10-008,29,140,140
10-010,1,201,201
10-013,101,312,312
10-014,0,254,254
10-015,3,164,164
10-017,2,307,307
10-020,56,564,564
10-021,1,261,261
10-022,1,397,397
10-023,1,177,177
10-025,424,194,194
10-026,111,173,173
10-029,402,222,222
10-032,1,721,721
10-033,20,412,412
10-034,20,462,462
10-046,52,139,139
10-049,175,365,365
10-050,254,457,457
10-051,0,124,124
10-052,58,295,295
10-054,36,306,306
10-056,231,278,278
10-061,1176,125,125
10-064,1,279,279
10-067,169,194,194
10-068,1,287,287
10-070,9,335,335
10-071,320,131,131
10-073,12,368,368
10-074,158,314,314
10-076,53,227,227
10-079,222,112,112
10-085,219,229,229
10-087,855,304,304
10-091,1,219,219
10-104,720,420,420
10-105,1117,189,189
10-109,550,192,192
10-112,155,156,156
10-115,585,278,278
10-116,657,298,298
10-117,36,361,361
10-118,19,449,449
10-120,575,456,456
10-124,478,297,297
10-127,1,187,187
10-133,337,271,271
10-134,1,118,118
10-140,301,201,201
10-141,246,172,172
10-142,1135,234,234
10-143,610,246,246
10-144,80,287,287
10-147,487,302,302
10-149,565,255,255
10-151,66,113,113
10-152,163,89,89
10-153,752,211,211
10-154,148,135,135
10-155,500,499,499
10-156,296,171,171
10-157,682,294,294
10-160,0,395,395
10-161,341,219,219
10-162,133,482,482
10-163,665,446,446
10-164,1356,209,209
10-168,1,177,177
10-171,46,142,142
10-172,303,180,180
10-173,1,246,246
10-176,77,154,154
10-178,1165,508,508
10-182,65,305,305
10-183,207,344,344
10-184,102,369,369
10-185,1,422,422
10-187,843,669,669
10-190,2,180,180
10-191,1406,330,330
10-192,1931,344,344
10-194,316,587,587
10-195,486,193,193
10-197,230,346,346
10-198,570,232,232
10-199,153,599,599
10-200,475,158,158
10-201,527,186,186
10-202,1423,521,521
10-206,14,266,266
10-207,425,507,507
10-208,2323,184,184
10-209,395,286,286
