subject,dataset,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
A11,A,OE,ok,,27,512,61440,0.0225266,0.0354415,0.0108653,0.928558,1.30644,1.40696,0.30187,0.775481,12,0.44312
A14,A,OE,ok,,27,512,61440,0.0708297,0.256545,0.0527246,0.971164,0.989986,1.01938,0.0744106,0.295543,10,0.509341
A17,A,OE,ok,,27,512,61440,0.0220923,0.00956833,0.0119726,1.02313,1.34049,1.31018,0.402666,1.15942,11,0.178172
A2,A,OE,ok,,27,512,61440,0.0396118,0.0812493,0.020805,0.934374,1.2488,1.33651,0.276491,0.600949,10,0.27166
A22,A,OE,ok,,27,512,61440,0.0879144,0.189315,0.0578581,0.990293,1.06009,1.07048,0.0581114,0.449012,11,0.334666
A25,A,OE,ok,,27,512,61440,0.0347529,0.0516261,0.0199228,0.784669,1.35031,1.72087,0.249541,0.779886,12,0.444889
A28,A,OE,ok,,27,512,61440,0.0119713,0.0623823,0.00625466,1.01615,1.23157,1.212,0.219836,0.616969,10,0.412271
A30,A,OE,ok,,27,512,61440,0.0095525,0.125775,0.00561244,0.87127,1.23661,1.41932,0.166935,0.539464,7,0.156865
A33,A,OE,ok,,27,512,61440,0.0926248,0.149625,0.0649854,0.925772,1.04609,1.12997,0.0914494,0.455722,12,0.353668
A36,A,OE,ok,,27,512,61440,0.088939,0.129998,0.0480089,1.06254,1.16072,1.0924,0.0521374,0.6891,9,0.254559
A39,A,OE,ok,,27,512,61440,0.0251403,0.0758508,0.0151737,0.868176,1.09215,1.25798,0.246785,0.427949,12,0.522068
A41,A,OE,ok,,27,512,61440,0.0642031,0.0662082,0.0363588,0.923211,1.05924,1.14734,0.194473,0.566228,10,0.514836
A44,A,OE,ok,,27,512,61440,0.0150228,0.159263,0.0100015,0.923232,1.121,1.21421,0.11864,0.475955,7,0.198174
A47,A,OE,ok,,27,512,61440,0.0705658,0.175333,0.0525884,0.928201,1.01966,1.09853,0.0869871,0.354474,11,0.208374
A5,A,OE,ok,,27,512,61440,0.0481846,0.10658,0.0272077,0.971079,1.07237,1.10431,0.141538,0.605679,7,0.352142
A52,A,OE,ok,,27,512,61440,0.0963212,0.102007,0.0695459,0.776331,1.09548,1.4111,0.203531,0.474245,10,0.510692
A55,A,OE,ok,,27,512,61440,0.405901,0.151334,0.239297,0.945564,0.996917,1.05431,0.217202,0.247966,11,0.580005
A58,A,OE,ok,,27,512,61440,0.652703,0.520643,0.573333,0.997621,1.00188,1.00426,0.0647796,0.164405,10,1.7614
A60,A,OE,ok,,27,512,61440,0.00737515,0.087027,0.00296637,1.02572,1.52135,1.48321,0.176727,0.864959,12,0.406683
A9,A,OE,ok,,27,512,61440,0.0351874,0.118598,0.0228703,0.897029,1.13802,1.26866,0.110465,0.557231,10,0.31722
B63,B,OE,ok,,27,512,61440,0.0485598,0.125713,0.0305708,0.988757,1.09445,1.10689,0.0996309,0.517306,10,0.275227
B66,B,OE,ok,,27,512,61440,0.0219923,0.129884,0.0126298,1.00693,1.0468,1.0396,0.0629801,0.582835,9,0.166682
B69,B,OE,ok,,27,512,61440,0.0405495,0.156912,0.0283372,0.907895,1.03375,1.13862,0.100877,0.439938,12,0.328244
B72,B,OE,ok,,27,512,61440,0.146972,0.155376,0.0693996,1.10178,1.29042,1.17122,0.0292874,0.822837,10,0.724949
