recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_epoch,meta_phase,meta_offset_s,meta_loc_s,meta_roc_s,meta_window_start_s,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
sub-02@baseline,ds004541,sub-02,ok,,62,1000,30000,baseline,baseline,0.0,895.848,1970.693,82.188,0.5903825306,0.1706780403,-0.1633139315,-0.9892813671,1.470847579,1.286811952,2.187591316,0.2272305976,0.04680809822,0.2711247049,0.03390769354,0.6828608523,0.01869903123,26.50954868,0.4866351224,2.958274245,2.310606299,0.3765149657
sub-02@loc-300,ds004541,sub-02,ok,,62,1000,30000,loc-300,pre_loc,-300.0,895.848,1970.693,565.848,0.5649886232,0.2489845241,-0.09061882977,-0.755070084,1.982750974,1.708897795,1.797609225,0.3146187383,0.1333385573,0.2628436821,0.04569390317,0.5646476467,0.03101539172,31.22744347,0.5354337667,2.339013417,2.036520841,0.3181396856
sub-02@loc-240,ds004541,sub-02,ok,,62,1000,30000,loc-240,pre_loc,-240.0,895.848,1970.693,625.848,0.6317388616,0.1399101044,-0.09618024729,-0.4976126534,2.740951347,2.15339531,1.937630103,0.3000986977,0.1634958831,0.244504961,0.02308668901,0.8190469165,0.02863840532,15.66818641,0.5228957777,2.443897982,1.904169395,0.1528716919
sub-02@loc-180,ds004541,sub-02,ok,,62,1000,30000,loc-180,pre_loc,-180.0,895.848,1970.693,685.848,0.6298199617,0.1309550863,-0.1025226122,-0.5060248009,2.522659509,2.473476574,2.12803176,0.2776488934,0.1275688304,0.2662059208,0.008433546686,0.9121524356,0.02722760317,5.634950097,0.425556692,2.790328067,2.263586135,0.2013620028
sub-02@loc-120,ds004541,sub-02,ok,,62,1000,30000,loc-120,pre_loc,-120.0,895.848,1970.693,745.848,0.6660356418,0.1031316812,-0.1118126119,-0.4853475771,3.324196513,2.44914592,2.093765884,0.3121005025,0.1372955724,0.2956230397,0.005929891692,0.9325049004,0.03741015542,5.464693539,0.4011798869,2.700911174,2.133797482,0.2340808046
sub-02@loc-60,ds004541,sub-02,ok,,62,1000,30000,loc-60,pre_loc,-60.0,895.848,1970.693,805.848,0.6446618197,0.1183166114,-0.1315646473,-0.6166734802,2.68512364,2.772550039,2.241565766,0.3081356205,0.1509076474,0.251117767,0.01558916396,0.8261513285,0.04872922266,15.96654098,0.3810383207,3.0612192,2.420490857,0.2355584719
sub-02@loc-30,ds004541,sub-02,ok,,62,1000,30000,loc-30,pre_loc,-30.0,895.848,1970.693,835.848,0.7040953051,0.0787248609,-0.2218085495,-1.093547928,3.666246475,2.327392421,2.298261353,0.3071711898,0.1637979527,0.2573012403,0.00672125979,0.9261725411,0.01815285013,5.984113364,0.4150855799,3.220975301,2.506480765,0.2250026437
sub-02@loc+30,ds004541,sub-02,ok,,62,1000,30000,loc+30,post_loc,30.0,895.848,1970.693,925.848,0.6931154571,0.08777429373,-0.02468640309,-0.158946096,2.306093342,1.27694744,2.010362569,0.2617893657,0.1503607782,0.2295667494,0.01028143374,0.8782274248,0.04090234234,8.080236425,0.4421580958,2.291003371,1.572198623,0.2606690953
sub-02@loc+60,ds004541,sub-02,ok,,62,1000,30000,loc+60,post_loc,60.0,895.848,1970.693,955.848,0.6158458211,0.1881355416,-0.1451319532,-0.9171758857,2.260517581,1.783194674,1.910052135,0.2638789656,0.1103396305,0.2436469166,0.01231631734,0.8607360928,0.03442346694,15.90118907,0.4014764953,2.880214846,2.143425838,0.27053539
sub-02@loc+120,ds004541,sub-02,ok,,62,1000,30000,loc+120,post_loc,120.0,895.848,1970.693,1015.848,0.708929423,0.09157927403,-0.09524688623,-0.3928993683,2.681916014,1.551633054,1.968252,0.2471085867,0.08882090865,0.2935658885,0.0403292439,0.7901882921,0.02062724445,21.10506778,0.5833156078,2.718135342,1.927022778,0.1548829649
sub-02@loc+180,ds004541,sub-02,ok,,62,1000,30000,loc+180,post_loc,180.0,895.848,1970.693,1075.848,0.6492339967,0.1385964252,-0.1273598539,-0.6483049155,2.155941708,1.725026299,2.080473756,0.2609320939,0.1244920513,0.2812016055,0.02403725805,0.7591188929,0.04957670396,23.48553546,0.5288067802,3.099819273,2.161961841,0.2159474312
sub-02@loc+240,ds004541,sub-02,ok,,62,1000,30000,loc+240,post_loc,240.0,895.848,1970.693,1135.848,0.6566687937,0.1710992876,-0.08287358488,-0.5079464041,2.312492313,1.774563046,2.21327985,0.2509127301,0.06272809713,0.2820090399,0.02454180603,0.7295500992,0.04049240905,23.65371568,0.5363168491,3.447409154,2.478576435,0.2869142543
