subject,stage,epoch_index,t_start_s,n_channels,sfreq,bytes_fetched
sub-101,W,0,0,3,500,180000
sub-101,W,11,330,3,500,180000
sub-101,W,23,690,3,500,180000
sub-101,W,34,1020,3,500,180000
sub-101,W,45,1350,3,500,180000
sub-101,W,56,1680,3,500,180000
sub-101,W,68,2040,3,500,180000
sub-101,W,320,9600,3,500,180000
sub-101,W,559,16770,3,500,180000
sub-101,W,760,22800,3,500,180000
sub-101,W,986,29580,3,500,180000
sub-101,W,997,29910,3,500,180000
sub-101,REM,209,6270,3,500,180000
sub-101,REM,375,11250,3,500,180000
sub-101,REM,392,11760,3,500,180000
sub-101,REM,410,12300,3,500,180000
sub-101,REM,431,12930,3,500,180000
sub-101,REM,617,18510,3,500,180000
sub-101,REM,638,19140,3,500,180000
sub-101,REM,797,23910,3,500,180000
sub-101,REM,814,24420,3,500,180000
sub-101,REM,948,28440,3,500,180000
sub-101,REM,968,29040,3,500,180000
sub-101,REM,985,29550,3,500,180000
sub-101,N1,74,2220,3,500,180000
sub-101,N1,77,2310,3,500,180000
sub-101,N1,79,2370,3,500,180000
sub-101,N1,120,3600,3,500,180000
sub-101,N1,190,5700,3,500,180000
sub-101,N1,255,7650,3,500,180000
sub-101,N1,371,11130,3,500,180000
sub-101,N1,444,13320,3,500,180000
sub-101,N1,576,17280,3,500,180000
sub-101,N1,613,18390,3,500,180000
sub-101,N1,623,18690,3,500,180000
sub-101,N1,827,24810,3,500,180000
sub-101,N2,82,2460,3,500,180000
sub-101,N2,193,5790,3,500,180000
sub-101,N2,239,7170,3,500,180000
sub-101,N2,279,8370,3,500,180000
sub-101,N2,474,14220,3,500,180000
sub-101,N2,562,16860,3,500,180000
sub-101,N2,603,18090,3,500,180000
sub-101,N2,684,20520,3,500,180000
sub-101,N2,722,21660,3,500,180000
sub-101,N2,757,22710,3,500,180000
sub-101,N2,831,24930,3,500,180000
sub-101,N2,938,28140,3,500,180000
sub-101,N3,103,3090,3,500,180000
sub-101,N3,139,4170,3,500,180000
sub-101,N3,163,4890,3,500,180000
sub-101,N3,285,8550,3,500,180000
sub-101,N3,310,9300,3,500,180000
sub-101,N3,335,10050,3,500,180000
sub-101,N3,364,10920,3,500,180000
sub-101,N3,508,15240,3,500,180000
sub-101,N3,533,15990,3,500,180000
sub-101,N3,878,26340,3,500,180000
sub-101,N3,902,27060,3,500,180000
sub-101,N3,927,27810,3,500,180000
sub-102,W,0,0,3,500,180000
sub-102,W,17,510,3,500,180000
sub-102,W,33,990,3,500,180000
sub-102,W,50,1500,3,500,180000
sub-102,W,66,1980,3,500,180000
sub-102,W,292,8760,3,500,180000
sub-102,W,572,17160,3,500,180000
sub-102,W,734,22020,3,500,180000
sub-102,W,767,23010,3,500,180000
sub-102,W,955,28650,3,500,180000
sub-102,W,1141,34230,3,500,180000
sub-102,W,1274,38220,3,500,180000
sub-102,REM,212,6360,3,500,180000
sub-102,REM,240,7200,3,500,180000
sub-102,REM,420,12600,3,500,180000
sub-102,REM,592,17760,3,500,180000
sub-102,REM,739,22170,3,500,180000
sub-102,REM,909,27270,3,500,180000
sub-102,REM,938,28140,3,500,180000
sub-102,REM,1076,32280,3,500,180000
sub-102,REM,1169,35070,3,500,180000
sub-102,REM,1195,35850,3,500,180000
sub-102,REM,1220,36600,3,500,180000
sub-102,REM,1247,37410,3,500,180000
sub-102,N1,77,2310,3,500,180000
sub-102,N1,82,2460,3,500,180000
sub-102,N1,511,15330,3,500,180000
sub-102,N1,615,18450,3,500,180000
sub-102,N1,742,22260,3,500,180000
sub-102,N1,778,23340,3,500,180000
sub-102,N1,944,28320,3,500,180000
sub-102,N1,1145,34350,3,500,180000
sub-102,N1,1151,34530,3,500,180000
sub-102,N1,1158,34740,3,500,180000
sub-102,N1,1261,37830,3,500,180000
sub-102,N1,1275,38250,3,500,180000
sub-102,N2,83,2490,3,500,180000
sub-102,N2,276,8280,3,500,180000
sub-102,N2,445,13350,3,500,180000
sub-102,N2,497,14910,3,500,180000
sub-102,N2,551,16530,3,500,180000
sub-102,N2,654,19620,3,500,180000
sub-102,N2,714,21420,3,500,180000
sub-102,N2,818,24540,3,500,180000
sub-102,N2,971,29130,3,500,180000
sub-102,N2,1020,30600,3,500,180000
sub-102,N2,1101,33030,3,500,180000
sub-102,N2,1283,38490,3,500,180000
sub-102,N3,101,3030,3,500,180000
sub-102,N3,123,3690,3,500,180000
sub-102,N3,157,4710,3,500,180000
sub-102,N3,179,5370,3,500,180000
sub-102,N3,201,6030,3,500,180000
sub-102,N3,324,9720,3,500,180000
sub-102,N3,346,10380,3,500,180000
sub-102,N3,368,11040,3,500,180000
sub-102,N3,390,11700,3,500,180000
sub-102,N3,697,20910,3,500,180000
sub-102,N3,858,25740,3,500,180000
sub-102,N3,1052,31560,3,500,180000
sub-104,W,0,0,3,500,180000
sub-104,W,12,360,3,500,180000
sub-104,W,24,720,3,500,180000
sub-104,W,36,1080,3,500,180000
sub-104,W,48,1440,3,500,180000
sub-104,W,60,1800,3,500,180000
sub-104,W,72,2160,3,500,180000
sub-104,W,123,3690,3,500,180000
sub-104,W,223,6690,3,500,180000
sub-104,W,784,23520,3,500,180000
sub-104,W,1154,34620,3,500,180000
sub-104,W,1220,36600,3,500,180000
sub-104,REM,283,8490,3,500,180000
sub-104,REM,304,9120,3,500,180000
sub-104,REM,322,9660,3,500,180000
sub-104,REM,588,17640,3,500,180000
sub-104,REM,607,18210,3,500,180000
sub-104,REM,625,18750,3,500,180000
sub-104,REM,815,24450,3,500,180000
sub-104,REM,977,29310,3,500,180000
sub-104,REM,996,29880,3,500,180000
sub-104,REM,1014,30420,3,500,180000
sub-104,REM,1033,30990,3,500,180000
sub-104,REM,1051,31530,3,500,180000
sub-104,N1,82,2460,3,500,180000
sub-104,N1,183,5490,3,500,180000
sub-104,N1,216,6480,3,500,180000
sub-104,N1,243,7290,3,500,180000
sub-104,N1,271,8130,3,500,180000
sub-104,N1,459,13770,3,500,180000
sub-104,N1,557,16710,3,500,180000
sub-104,N1,683,20490,3,500,180000
sub-104,N1,834,25020,3,500,180000
sub-104,N1,1064,31920,3,500,180000
sub-104,N1,1164,34920,3,500,180000
sub-104,N1,1211,36330,3,500,180000
