subject,session,task,n_trials,n_sm_channels,n_channels,erd_sm,erd_wholehead,sfreq
sub-001,ses-01,activemotor,19,9,33,0.04693973758585229,0.29653280766536716,250.00100000400002
sub-001,ses-01,motorimagery,19,9,33,0.08918211798172218,0.11045376684112274,250.00100000400002
sub-001,ses-01,passivemotor,19,9,33,0.09575358754055244,0.04118674755480207,250.00100000400002
sub-001,ses-02,activemotor,19,9,33,0.23019753700635523,0.19075647713694863,250.00125000625005
sub-001,ses-02,motorimagery,19,9,33,-0.02813339701192732,-0.016323338437930813,250.00125000625005
sub-001,ses-02,passivemotor,19,9,33,-0.04364195128747633,0.009028863237235837,250.00125000625005
sub-001,ses-03,activemotor,19,9,33,0.1924149890830058,0.15699393224186947,250.00075000225
sub-001,ses-03,motorimagery,19,9,33,0.06903590307308942,0.3696373079230272,250.00075000225
sub-001,ses-03,passivemotor,19,9,33,0.23675135497565605,0.18499886392588452,250.00075000225
sub-002,ses-01,activemotor,19,9,33,0.13224982339125688,0.4832218111170948,250.00100000400002
sub-002,ses-01,motorimagery,19,9,33,0.1570269238299737,0.1453640868464582,250.00100000400002
sub-002,ses-01,passivemotor,19,9,33,0.09345492298215703,0.017539668786161575,250.00100000400002
sub-002,ses-02,activemotor,19,9,33,0.03305327524470245,0.02482637075932046,250.00100000400002
sub-002,ses-02,motorimagery,19,9,33,0.02367294561209117,-0.010624253540556586,250.00100000400002
sub-002,ses-02,passivemotor,19,9,33,0.09827865787772239,0.3711573576584602,250.00100000400002
sub-002,ses-03,activemotor,19,9,33,0.1195292580194729,0.11550864616958563,250.00075000225
sub-002,ses-03,motorimagery,19,9,33,0.07739906630793592,0.0555132550534459,250.00075000225
sub-003,ses-01,activemotor,19,9,33,0.2673467744529587,0.5202082496277589,250.00200001600012
sub-003,ses-01,motorimagery,19,9,33,0.13496030579345442,0.0743083735997826,250.00200001600012
sub-003,ses-01,passivemotor,19,9,33,-1.5672822220955689,-1.595411430191838,250.00200001600012
sub-003,ses-02,activemotor,19,9,33,0.36035795521291764,0.3448715680793346,250.00075000225
sub-003,ses-02,motorimagery,19,9,33,0.3014039895601261,0.30517256790190167,250.00075000225
sub-003,ses-02,passivemotor,19,9,33,0.2609837691413749,0.5242416215703521,250.00075000225
sub-003,ses-03,activemotor,19,9,33,0.2496965552388972,0.2535295768492954,250.00050000099998
sub-003,ses-03,motorimagery,19,9,33,0.053834205923178946,0.025402567693871125,250.00050000099998
sub-003,ses-03,passivemotor,19,9,33,0.14249521428398793,0.4410303291122155,250.00050000099998
sub-004,ses-01,activemotor,19,9,33,0.10622460602434905,0.9147533256348869,250.00025000025002
sub-004,ses-01,motorimagery,19,9,33,0.10403581531616349,0.1595407235105993,250.00025000025002
sub-004,ses-01,passivemotor,19,9,33,0.22852330729649828,0.1404673761727715,250.00025000025002
sub-004,ses-02,activemotor,19,9,33,0.1230573798193431,0.007147975008275476,250.00075000225
sub-004,ses-02,motorimagery,19,9,33,0.15971545605981616,0.19132405402195374,250.00075000225
sub-004,ses-02,passivemotor,19,9,33,0.23498655519125858,0.4748180227328873,250.00075000225
sub-004,ses-03,activemotor,19,9,33,0.22570852379178727,-0.04167285306150114,250.00075000225
sub-004,ses-03,motorimagery,19,9,33,0.07304753015010189,0.849003996393617,250.00075000225
sub-004,ses-03,passivemotor,19,9,33,0.0836925945368337,0.3917150570437866,250.00075000225
sub-005,ses-01,activemotor,19,9,33,0.24714150977691304,0.5465724793652793,250.0
sub-005,ses-01,motorimagery,19,9,33,0.09918154981027345,0.08222284789743606,250.0
sub-005,ses-01,passivemotor,19,9,33,0.25095432407978974,0.24319011899488344,250.0
sub-005,ses-02,activemotor,19,9,33,0.21045258956878365,0.10317269007605259,250.00025000025002
sub-005,ses-02,motorimagery,19,9,33,-0.005974653762596015,0.017554321236063583,250.00025000025002
sub-005,ses-02,passivemotor,19,9,33,0.11427100554047043,0.1447317481344327,250.00025000025002
sub-005,ses-03,activemotor,19,9,33,0.3013957087841699,0.18971448111547684,250.00050000099998
sub-005,ses-03,motorimagery,19,9,33,0.18638437253805415,0.9920211116793354,250.00050000099998
sub-006,ses-01,activemotor,19,9,33,0.07038519097610954,0.4484434736435777,250.00075000225
sub-006,ses-01,motorimagery,19,9,33,0.17063082886662176,0.15349650340672769,250.00075000225
sub-006,ses-01,passivemotor,19,9,33,0.11126066068811513,0.4853537121378698,250.00075000225
sub-006,ses-02,activemotor,19,9,33,0.22671324450811595,0.19027275332150909,250.00100000400002
sub-006,ses-02,motorimagery,19,9,33,0.22471992025221693,0.20101191094123594,250.00100000400002
sub-006,ses-02,passivemotor,19,9,33,0.21418842811070818,0.523959675355936,250.00100000400002
sub-006,ses-03,activemotor,19,9,33,0.1354306418512547,0.08583176359416086,250.00075000225
sub-006,ses-03,passivemotor,19,9,33,0.13018427276843936,0.4160579874645746,250.00075000225
sub-007,ses-01,motorimagery,19,9,33,0.2502615975549643,0.2074219186921198,250.00100000400002
sub-007,ses-01,passivemotor,19,9,33,-0.039252139137524476,0.028083105843421784,250.00100000400002
sub-007,ses-02,motorimagery,19,9,33,0.22770514973785683,0.20880727352609355,250.00100000400002
sub-007,ses-02,passivemotor,19,9,33,0.16381293837181782,0.3880459665663229,250.00100000400002
sub-007,ses-03,activemotor,19,9,33,0.3236403538411006,0.2603075874122343,250.00100000400002
sub-007,ses-03,motorimagery,19,9,33,0.17928212048742023,0.14309216952933437,250.00100000400002
sub-007,ses-03,passivemotor,19,9,33,0.03798839573880943,0.3056089971156861,250.00100000400002
sub-008,ses-03,activemotor,19,9,33,0.15345492707704877,0.06188760512264021,250.00025000025002
sub-008,ses-03,motorimagery,19,9,33,0.20915454780471623,0.46043318319888654,250.00025000025002
sub-008,ses-03,passivemotor,19,9,33,0.06430433081991206,0.1021880372946947,250.00025000025002
sub-009,ses-01,activemotor,19,9,33,0.10111592877048949,0.13601059748552413,249.99975000025003
sub-009,ses-01,motorimagery,19,9,33,0.10104987055496521,0.10104944961313063,249.99975000025003
sub-009,ses-01,passivemotor,19,9,33,0.10107900896569372,0.1073244544513265,249.99975000025003
sub-009,ses-02,activemotor,19,9,33,0.4867099991525055,0.4867100223747948,250.00025000025002
sub-009,ses-02,motorimagery,19,9,33,0.14917554848312994,0.13242557600698085,250.00025000025002
