subject,session,task,n_trials,n_sm_channels,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23
sub-001,ses-01,activemotor,19,9,-0.699326,-0.927747,-0.768755,-0.979763,-0.722122,-1.02229,-0.862143,-0.968399,-0.666867,-1.16559,-0.863325,-1.10822,-0.838943,-0.82319,-0.888054,-1.08436,-0.88505,-1.0486,-0.858345,-0.961905,-0.864927,-1.00582,-0.643473,-0.924423
sub-001,ses-01,motorimagery,19,9,-0.839545,-0.924636,-0.695505,-0.942277,-0.853203,-1.11798,-0.658212,-1.09991,-0.792163,-1.03324,-0.715303,-1.08163,-0.885138,-1.04724,-0.750308,-0.85889,-0.741668,-0.70151,-0.781419,-1.02514,-0.891682,-0.953863,-0.740623,-0.865388
sub-001,ses-01,passivemotor,19,9,-0.806767,-1.13133,-0.810038,-0.925004,-0.66041,-1.10947,-0.810539,-0.969219,-0.889891,-0.905314,-0.84739,-1.06422,-0.822839,-1.05438,-0.819393,-1.02668,-0.789621,-1.08551,-0.951416,-0.938449,-0.747931,-0.978282,-0.832082,-0.713961
sub-001,ses-02,activemotor,19,9,-0.770611,-0.872192,-0.762753,-0.992336,-0.661777,-1.02395,-0.812256,-0.810619,-0.789416,-0.945699,-0.857225,-0.741085,-0.550501,-0.847941,-0.713514,-0.923318,-0.644712,-0.712484,-0.744337,-0.727269,-0.682907,-0.798744,-0.692332,-0.914853
sub-001,ses-02,motorimagery,19,9,-0.741929,-1.05658,-0.736753,-0.972121,-0.722387,-0.890903,-0.800504,-1.06088,-0.856459,-0.994553,-1.03549,-0.919727,-0.846834,-0.938383,-1.03274,-1.06449,-0.923838,-1.12504,-0.815287,-1.04047,-0.962571,-1.06272,-0.878588,-1.07239
sub-001,ses-02,passivemotor,19,9,-2.45054,-2.42778,-2.29467,-1.1145,-0.906688,-0.943678,-0.767994,-0.924429,-0.805463,-1.07068,-1.02212,-1.13018,-0.971561,-1.16264,-0.867391,-1.17639,-0.761184,-1.14004,-0.855053,-1.11311,-1.00713,-1.25258,-1.0109,-1.13894
sub-001,ses-03,activemotor,19,9,-0.842657,-0.934679,-0.694346,-0.932601,-0.794495,-0.903602,-0.839508,-0.982058,-0.705721,-1.05985,-0.749596,-1.02413,-0.643176,-0.922899,-0.82931,-0.998263,-0.819794,-1.09341,-0.979056,-0.952737,-0.752462,-1.15928,-0.859811,-0.952968
sub-001,ses-03,motorimagery,19,9,-0.813682,-0.942281,-0.901588,-0.93038,-0.669641,-1.01687,-0.795123,-1.22845,-0.710934,-1.1096,-0.906069,-1.06098,-0.662724,-0.924178,-0.93568,-0.955407,-0.770229,-1.02299,-0.80612,-1.0458,-0.788996,-1.02882,-0.852509,-0.967686
sub-001,ses-03,passivemotor,19,9,-2.25034,-1.32576,-0.655486,-0.905986,-0.516702,-0.726594,-0.547201,-0.78344,-0.497994,-0.956163,-0.694348,-0.773969,-0.549455,-1.01165,-0.654438,-0.874596,-0.656968,-1.16089,-0.778948,-0.951597,-0.749936,-1.0804,-0.744927,-0.881803
sub-002,ses-01,activemotor,19,9,-0.763237,-0.855606,-0.799106,-0.940832,-0.792876,-1.02622,-0.755536,-0.841297,-0.862171,-0.972067,-0.815791,-0.94841,-0.854083,-0.836786,-0.816068,-0.990849,-0.788794,-0.808658,-0.716596,-0.815287,-0.839713,-0.793502,-0.803532,-1.12118
sub-002,ses-01,motorimagery,19,9,-1.04252,-0.999343,-0.998665,-1.00915,-0.789712,-1.0182,-0.86555,-0.986434,-0.993697,-1.07699,-0.850143,-0.959426,-0.800629,-0.878975,-0.899302,-1.01418,-0.916723,-1.04411,-0.854649,-1.16422,-0.903221,-1.05239,-0.937841,-1.00096
sub-002,ses-01,passivemotor,19,9,-0.763926,-1.07685,-0.786539,-1.01636,-0.951136,-1.09405,-0.741188,-1.14983,-0.780334,-1.01655,-0.910568,-0.983478,-0.739809,-0.932437,-0.903019,-0.998076,-0.827158,-1.16197,-0.622274,-0.942896,-0.775953,-1.0202,-0.877559,-0.968904
sub-002,ses-02,activemotor,19,9,-2.99426,-2.4521,-0.918035,-2.32483,-2.35886,-2.65165,-2.48617,-0.984781,-0.876387,-1.03855,-1.03228,-0.935137,-0.802646,-2.72501,-0.917716,-0.970484,-0.914923,-1.0049,-0.98258,-0.994676,-0.876959,-0.9429,-0.928491,-1.10275
sub-002,ses-02,motorimagery,19,9,-1.00645,-1.14163,-0.928786,-0.824582,-0.796936,-0.92763,-0.898458,-0.792025,-0.977344,-0.864767,-0.978552,-1.01096,-0.943832,-0.917926,-0.860319,-1.14914,-0.902271,-1.12595,-1.04971,-0.962582,-1.00596,-1.04304,-0.843186,-0.979588
sub-002,ses-02,passivemotor,19,9,-0.816518,-0.823643,-0.854026,-0.958479,-0.823891,-0.84175,-0.773252,-0.723215,-0.684746,-0.861215,-0.783651,-0.847595,-0.735205,-0.886752,-0.944487,-0.974393,-0.760663,-1.0635,-0.776416,-1.04816,-0.746416,-0.874295,-0.878814,-1.04327
sub-002,ses-03,activemotor,19,9,-0.878031,-0.900232,-1.11654,-1.05752,-0.869036,-1.03111,-0.888264,-0.998395,-0.737249,-0.903326,-0.634342,-1.10088,-0.813248,-0.920262,-0.841287,-1.04721,-0.789058,-0.988834,-0.870146,-1.04289,-0.731117,-1.05077,-1.0152,-1.23641
sub-002,ses-03,motorimagery,19,9,-0.703183,-0.998657,-0.857347,-0.955999,-0.751616,-0.78675,-0.832683,-0.810774,-0.803388,-1.00332,-1.04595,-2.51961,-2.32307,-2.27548,-2.45592,-1.04112,-0.98671,-1.03764,-0.99365,-0.840385,-0.935222,-0.870481,-0.905322,-0.779448
sub-003,ses-01,activemotor,19,9,-0.789897,-0.78837,-0.837096,-0.942599,-0.747115,-0.676568,-0.653859,-0.671018,-0.633662,-0.671156,-0.768887,-0.713043,-0.711095,-0.730699,-0.676812,-0.85327,-0.755833,-0.825521,-0.541992,-0.695211,-0.653751,-0.794914,-0.701951,-1.06278
sub-003,ses-01,motorimagery,19,9,-0.789758,-0.967703,-0.897928,-1.03322,-0.851832,-1.09769,-0.760299,-1.01491,-0.894577,-0.892509,-0.753673,-0.946614,-0.840009,-0.887514,-0.788343,-1.02431,-0.812745,-0.911819,-0.763985,-1.00209,-0.865247,-0.895625,-0.891339,-1.05877
sub-003,ses-01,passivemotor,19,9,-2.08009,-3.97198,-4.02946,-2.39426,-0.761569,-0.933931,-0.771953,-0.898495,-2.17016,-2.28961,-2.1399,-5.31482,-5.17699,-6.84387,-5.47377,-2.64668,-3.60591,-5.35051,-6.64844,-6.84513,-6.73588,-5.40541,-6.74101,-5.33644
