subject,status,error,imagery_auc,perm_p,perm_null_mean,n_trials,n_left,n_right,n_perm
S001,ok,,0.6027667984189723,0.12437810945273632,0.45609683794466405,45,23,22,200
S002,ok,,0.6363636363636364,0.06467661691542288,0.4623616600790514,45,23,22,200
S003,ok,,0.5533596837944664,0.21393034825870647,0.45152173913043486,45,23,22,200
S004,ok,,0.4762845849802372,0.5422885572139303,0.4829644268774704,45,23,22,200
S005,ok,,0.2619047619047619,0.9601990049751243,0.469811507936508,45,21,24,200
S006,ok,,0.5317460317460317,0.24378109452736318,0.44152777777777774,45,24,21,200
S007,ok,,0.7885375494071146,0.004975124378109453,0.46313241106719366,45,23,22,200
S008,ok,,0.2628458498023715,0.9601990049751243,0.46882411067193674,45,22,23,200
S009,ok,,0.6845238095238095,0.014925373134328358,0.4506547619047619,45,24,21,200
S010,ok,,0.4126984126984127,0.6268656716417911,0.45032738095238095,45,24,21,200
S011,ok,,0.4150197628458498,0.6716417910447762,0.45415019762845854,45,23,22,200
S012,ok,,0.6349206349206349,0.09950248756218906,0.46857142857142864,45,21,24,200
S013,ok,,0.7312252964426877,0.004975124378109453,0.46833003952569174,45,23,22,200
S014,ok,,0.5454545454545454,0.2935323383084577,0.4585375494071146,45,22,23,200
S015,ok,,0.6343873517786561,0.0845771144278607,0.4713339920948617,45,23,22,200
S016,ok,,0.7213438735177866,0.014925373134328358,0.4640415019762845,45,22,23,200
S017,ok,,0.3577075098814229,0.7711442786069652,0.4533992094861661,45,23,22,200
S018,ok,,0.49604743083003955,0.3880597014925373,0.4527470355731225,45,22,23,200
S019,ok,,0.44861660079051385,0.5920398009950248,0.4667094861660079,45,23,22,200
S020,ok,,0.43280632411067194,0.5024875621890548,0.4474901185770751,45,23,22,200
S021,ok,,0.7182539682539683,0.004975124378109453,0.44511904761904764,45,24,21,200
S022,ok,,0.26877470355731226,0.945273631840796,0.4677865612648222,45,22,23,200
S023,ok,,0.5454545454545454,0.2537313432835821,0.45145256916996046,45,22,23,200
S024,ok,,0.5237154150197628,0.27860696517412936,0.4529249011857707,45,22,23,200
S025,ok,,0.6462450592885376,0.05970149253731343,0.4568280632411067,45,22,23,200
S026,ok,,0.5376984126984127,0.2935323383084577,0.46194444444444444,45,24,21,200
S027,ok,,0.6067193675889329,0.1044776119402985,0.46006916996047437,45,23,22,200
S028,ok,,0.5039525691699605,0.373134328358209,0.4558250988142292,45,22,23,200
S029,error,R04: URLError: <urlopen error [Errno 104] Connection reset by peer>,,,,,,,
S030,ok,,0.4583333333333333,0.48258706467661694,0.44938492063492064,45,24,21,200
S031,ok,,0.5632411067193676,0.19402985074626866,0.46039525691699607,45,22,23,200
S032,ok,,0.5515873015873016,0.25870646766169153,0.47411706349206356,45,21,24,200
S033,ok,,0.6739130434782609,0.029850746268656716,0.4482806324110672,45,23,22,200
S034,ok,,0.6130952380952381,0.07960199004975124,0.46921626984126985,45,21,24,200
S035,ok,,0.5474308300395256,0.2835820895522388,0.4618280632411067,45,22,23,200
S036,ok,,0.525691699604743,0.31840796019900497,0.46633399209486165,45,23,22,200
S037,ok,,0.466403162055336,0.5422885572139303,0.4736857707509881,45,23,22,200
S038,ok,,0.466403162055336,0.4577114427860697,0.44740118577075094,45,23,22,200
S039,ok,,0.4031620553359684,0.7014925373134329,0.4643083003952569,45,23,22,200
S040,ok,,0.3869047619047619,0.736318407960199,0.4584424603174602,45,21,24,200
S041,ok,,0.6428571428571429,0.06467661691542288,0.4581051587301587,45,24,21,200
S042,ok,,0.7183794466403162,0.014925373134328358,0.4600592885375494,45,22,23,200
S043,ok,,0.6699604743083004,0.024875621890547265,0.4609288537549407,45,23,22,200
S044,ok,,0.5612648221343873,0.208955223880597,0.4629051383399209,45,22,23,200
S045,ok,,0.19367588932806323,0.9800995024875622,0.44626482213438734,45,23,22,200
S046,ok,,0.29051383399209485,0.9104477611940298,0.4600296442687747,45,23,22,200
S047,ok,,0.5813492063492064,0.16417910447761194,0.45454365079365083,45,24,21,200
S048,ok,,0.5632411067193676,0.22388059701492538,0.47691699604743076,45,22,23,200
S049,ok,,0.37549407114624506,0.746268656716418,0.4515415019762845,45,23,22,200
S050,ok,,0.2628458498023715,0.9402985074626866,0.4705237154150197,45,23,22,200
S051,ok,,0.42857142857142855,0.5572139303482587,0.45082341269841275,45,24,21,200
S052,ok,,0.6964285714285714,0.029850746268656716,0.4649702380952381,45,24,21,200
S053,ok,,0.39723320158102765,0.7014925373134329,0.4609683794466403,45,22,23,200
S054,ok,,0.8438735177865613,0.004975124378109453,0.4514328063241107,45,23,22,200
S055,ok,,0.5691699604743083,0.208955223880597,0.46704545454545454,45,23,22,200
S056,ok,,0.6442687747035574,0.05970149253731343,0.45365612648221343,45,22,23,200
S057,ok,,0.5932539682539683,0.14427860696517414,0.4636309523809524,45,24,21,200
S058,ok,,0.24801587301587302,0.9552238805970149,0.4632837301587302,45,24,21,200
S059,ok,,0.4444444444444444,0.5323383084577115,0.45022817460317455,45,24,21,200
S060,ok,,0.741106719367589,0.01990049751243781,0.47244071146245065,45,23,22,200
S061,ok,,0.383399209486166,0.7810945273631841,0.47282608695652173,45,22,23,200
S062,ok,,0.541501976284585,0.23383084577114427,0.45479249011857703,45,23,22,200
S063,ok,,0.3458498023715415,0.8706467661691543,0.46514822134387357,45,22,23,200
S064,ok,,0.45849802371541504,0.5323383084577115,0.46160079051383396,45,23,22,200
S065,ok,,0.6150793650793651,0.0945273631840796,0.4546428571428571,45,24,21,200
S066,ok,,0.567193675889328,0.1791044776119403,0.4587549407114625,45,22,23,200
S067,ok,,0.4051383399209486,0.582089552238806,0.44381422924901187,45,22,23,200
S068,ok,,0.5316205533596838,0.25870646766169153,0.4525592885375494,45,22,23,200
S069,ok,,0.3948412698412698,0.6666666666666666,0.4482589285714286,45,24,21,200
S070,ok,,0.40118577075098816,0.7114427860696517,0.46298418972332017,45,22,23,200
S071,ok,,0.6205533596837944,0.10945273631840796,0.47418972332015813,45,22,23,200
S072,ok,,0.8784584980237155,0.004975124378109453,0.46054347826086955,45,22,23,200
S073,ok,,0.7470355731225297,0.004975124378109453,0.4627173913043478,45,23,22,200
S074,ok,,0.4801587301587302,0.4228855721393035,0.4606349206349206,45,24,21,200
S075,ok,,0.6442687747035574,0.08955223880597014,0.4656620553359684,45,22,23,200
S076,ok,,0.6106719367588933,0.07960199004975124,0.46011857707509884,45,23,22,200
S077,ok,,0.44642857142857145,0.5422885572139303,0.4612698412698413,45,21,24,200
S078,ok,,0.35177865612648224,0.8407960199004975,0.4685474308300395,45,23,22,200
S079,ok,,0.5434782608695652,0.1890547263681592,0.436600790513834,45,22,23,200
S080,ok,,0.4268774703557312,0.6666666666666666,0.46762845849802376,45,23,22,200
S081,ok,,0.274703557312253,0.9303482587064676,0.4578260869565217,45,22,23,200
S082,ok,,0.2964426877470356,0.9104477611940298,0.4634881422924901,45,23,22,200
S083,ok,,0.49604743083003955,0.40298507462686567,0.46663043478260874,45,22,23,200
S084,ok,,0.6857707509881423,0.03482587064676617,0.47704545454545455,45,23,22,200
S085,ok,,0.6837944664031621,0.009950248756218905,0.44573122529644266,45,23,22,200
S086,ok,,0.4367588932806324,0.5870646766169154,0.4647727272727273,45,22,23,200
S087,ok,,0.4308300395256917,0.6716417910447762,0.47526679841897235,45,22,23,200
S090,ok,,0.549407114624506,0.263681592039801,0.4687450592885375,45,22,23,200
S091,ok,,0.5434782608695652,0.31343283582089554,0.4740217391304348,45,22,23,200
S093,ok,,0.66600790513834,0.05472636815920398,0.4662302371541502,45,23,22,200
S094,ok,,0.6897233201581028,0.01990049751243781,0.4559189723320158,45,22,23,200
