subject,status,error,imagery_auc,perm_p,perm_null_mean,n_trials,n_left,n_right,n_perm
S001,ok,,0.6067193675889329,0.15422885572139303,0.46916007905138346,45,23,22,200
S002,ok,,0.7490118577075099,0.004975124378109453,0.4557411067193676,45,23,22,200
S003,ok,,0.16798418972332016,0.9950248756218906,0.4658399209486166,45,22,23,200
S004,ok,,0.7154150197628458,0.01990049751243781,0.46812252964426876,45,22,23,200
S005,ok,,0.3893280632411067,0.746268656716418,0.4607905138339921,45,23,22,200
S006,ok,,0.5079051383399209,0.2835820895522388,0.449703557312253,45,22,23,200
S007,ok,,0.7035573122529645,0.014925373134328358,0.457598814229249,45,23,22,200
S008,ok,,0.4525691699604743,0.5522388059701493,0.46094861660079045,45,22,23,200
S009,ok,,0.43280632411067194,0.6069651741293532,0.4588833992094862,45,23,22,200
S010,ok,,0.8333333333333334,0.004975124378109453,0.4604067460317461,45,24,21,200
S011,ok,,0.4308300395256917,0.6268656716417911,0.4758498023715415,45,22,23,200
S012,error,R07: URLError: <urlopen error [Errno 104] Connection reset by peer>,,,,,,,
S013,ok,,0.6071428571428571,0.10945273631840796,0.46132936507936506,45,24,21,200
S014,ok,,0.5691699604743083,0.208955223880597,0.4692885375494072,45,22,23,200
S015,ok,,0.5118577075098815,0.373134328358209,0.45395256916996046,45,22,23,200
S016,ok,,0.6324110671936759,0.07960199004975124,0.46164031620553364,45,23,22,200
S017,ok,,0.5790513833992095,0.208955223880597,0.45940711462450595,45,23,22,200
S018,ok,,0.6699604743083004,0.03980099502487562,0.4565118577075099,45,22,23,200
S019,ok,,0.753968253968254,0.004975124378109453,0.4418452380952381,45,24,21,200
S020,ok,,0.2837301587301587,0.9402985074626866,0.4668452380952381,45,21,24,200
S021,ok,,0.625,0.11442786069651742,0.4617956349206349,45,24,21,200
S022,ok,,0.30632411067193677,0.900497512437811,0.4642490118577075,45,23,22,200
S023,ok,,0.2490118577075099,0.9651741293532339,0.47568181818181815,45,22,23,200
S024,ok,,0.4901185770750988,0.4527363184079602,0.4661660079051383,45,23,22,200
S025,ok,,0.4367588932806324,0.6069651741293532,0.4682312252964427,45,23,22,200
S026,ok,,0.4881422924901186,0.40298507462686567,0.45501976284584983,45,23,22,200
S027,ok,,0.35375494071146246,0.8805970149253731,0.48451581027667984,45,23,22,200
S028,ok,,0.6976284584980237,0.01990049751243781,0.45171936758893283,45,23,22,200
S029,ok,,0.658102766798419,0.029850746268656716,0.44638339920948616,45,22,23,200
S030,ok,,0.5158102766798419,0.36318407960199006,0.46598814229249014,45,22,23,200
S031,ok,,0.4901185770750988,0.4079601990049751,0.45506916996047425,45,23,22,200
S032,ok,,0.7430830039525692,0.009950248756218905,0.4604051383399209,45,23,22,200
S033,ok,,0.5257936507936508,0.3283582089552239,0.4601289682539682,45,21,24,200
S034,ok,,0.5988142292490118,0.11940298507462686,0.4600296442687747,45,23,22,200
S035,ok,,0.7261904761904762,0.009950248756218905,0.4622222222222223,45,21,24,200
S036,ok,,0.5079051383399209,0.34328358208955223,0.45895256916996047,45,23,22,200
S037,ok,,0.6245059288537549,0.08955223880597014,0.46404150197628463,45,23,22,200
S038,ok,,0.4841897233201581,0.48756218905472637,0.4668181818181818,45,23,22,200
S039,ok,,0.8596837944664032,0.004975124378109453,0.4655335968379447,45,23,22,200
S040,ok,,0.48616600790513836,0.4228855721393035,0.46358695652173915,45,23,22,200
S041,ok,,0.5454545454545454,0.26865671641791045,0.46614624505928853,45,22,23,200
S042,ok,,0.8458498023715415,0.004975124378109453,0.4426383399209486,45,22,23,200
S043,ok,,0.6245059288537549,0.05472636815920398,0.44362648221343876,45,22,23,200
S044,ok,,0.6106719367588933,0.14427860696517414,0.48414031620553355,45,23,22,200
S045,ok,,0.3300395256916996,0.8109452736318408,0.44758893280632406,45,22,23,200
S046,ok,,0.9762845849802372,0.004975124378109453,0.4638932806324111,45,22,23,200
S047,ok,,0.5335968379446641,0.2935323383084577,0.46721343873517784,45,23,22,200
S048,ok,,0.5197628458498024,0.31343283582089554,0.4631126482213439,45,22,23,200
S049,ok,,0.658102766798419,0.06467661691542288,0.46202569169960467,45,22,23,200
S050,ok,,0.2996031746031746,0.8905472636815921,0.45654761904761915,45,24,21,200
S051,ok,,0.43280632411067194,0.6019900497512438,0.46076086956521733,45,23,22,200
S052,ok,,0.5513833992094862,0.20398009950248755,0.46647233201581023,45,22,23,200
S053,ok,,0.4644268774703557,0.5174129353233831,0.4651778656126482,45,22,23,200
S054,ok,,0.758893280632411,0.004975124378109453,0.4570652173913043,45,22,23,200
S055,ok,,0.7312252964426877,0.004975124378109453,0.44991106719367585,45,22,23,200
S056,ok,,0.567193675889328,0.1890547263681592,0.4495454545454545,45,23,22,200
S057,ok,,0.8313492063492064,0.004975124378109453,0.464593253968254,45,24,21,200
S058,ok,,0.6877470355731226,0.024875621890547265,0.4657509881422925,45,23,22,200
S059,ok,,0.741106719367589,0.01990049751243781,0.46123517786561263,45,22,23,200
S060,ok,,0.4367588932806324,0.5522388059701493,0.4469565217391305,45,23,22,200
S061,ok,,0.44047619047619047,0.5422885572139303,0.45496031746031745,45,24,21,200
S062,ok,,0.35375494071146246,0.7860696517412935,0.4604051383399209,45,22,23,200
S063,ok,,0.3339920948616601,0.8656716417910447,0.4512747035573122,45,22,23,200
S064,ok,,0.27380952380952384,0.9154228855721394,0.4491865079365079,45,24,21,200
S065,ok,,0.7509881422924901,0.009950248756218905,0.4486758893280632,45,22,23,200
S066,ok,,0.5912698412698413,0.12935323383084577,0.45726190476190476,45,24,21,200
S067,ok,,0.49407114624505927,0.35323383084577115,0.4527766798418973,45,22,23,200
S068,ok,,0.3814229249011858,0.6965174129353234,0.4525,45,23,22,200
S069,ok,,0.46047430830039526,0.582089552238806,0.47987154150197625,45,23,22,200
S070,ok,,0.6225296442687747,0.12935323383084577,0.46858695652173915,45,23,22,200
S071,ok,,0.525691699604743,0.36318407960199006,0.4772529644268775,45,23,22,200
S072,ok,,0.35375494071146246,0.746268656716418,0.4462747035573122,45,23,22,200
S073,ok,,0.6541501976284585,0.06467661691542288,0.46134387351778655,45,22,23,200
S074,ok,,0.5456349206349206,0.24378109452736318,0.4553075396825397,45,24,21,200
S075,ok,,0.424901185770751,0.5970149253731343,0.45416007905138334,45,22,23,200
S076,ok,,0.49407114624505927,0.43781094527363185,0.46467391304347827,45,23,22,200
S077,ok,,0.6488095238095238,0.06965174129353234,0.46141865079365074,45,21,24,200
S078,ok,,0.5375494071146245,0.263681592039801,0.462193675889328,45,22,23,200
S079,ok,,0.6561264822134387,0.04975124378109453,0.46666007905138346,45,23,22,200
S080,ok,,0.5059288537549407,0.3681592039800995,0.4698913043478261,45,23,22,200
S081,ok,,0.7391304347826086,0.024875621890547265,0.4664328063241107,45,22,23,200
S082,ok,,0.6007905138339921,0.09950248756218906,0.45069169960474315,45,22,23,200
S083,ok,,0.6758893280632411,0.04477611940298507,0.4706818181818182,45,22,23,200
S084,ok,,0.5158730158730159,0.3283582089552239,0.4647817460317461,45,24,21,200
S085,ok,,0.5770750988142292,0.1791044776119403,0.4658596837944664,45,22,23,200
S086,ok,,0.2845849802371542,0.9253731343283582,0.45397233201581033,45,22,23,200
S087,ok,,0.5456349206349206,0.31840796019900497,0.47725198412698416,45,21,24,200
S090,ok,,0.4027777777777778,0.7412935323383084,0.4773412698412698,45,21,24,200
S091,ok,,0.4644268774703557,0.527363184079602,0.4680731225296442,45,22,23,200
S093,ok,,0.4426877470355731,0.6069651741293532,0.4684288537549407,45,23,22,200
S094,ok,,0.8379446640316206,0.004975124378109453,0.4516897233201581,45,23,22,200
S095,ok,,0.6739130434782609,0.05472636815920398,0.45984189723320157,45,22,23,200
S096,ok,,0.6798418972332015,0.029850746268656716,0.4748913043478261,45,22,23,200
S097,ok,,0.616600790513834,0.07960199004975124,0.46415019762845844,45,22,23,200
S098,ok,,0.33992094861660077,0.835820895522388,0.4644565217391305,45,22,23,200
S099,ok,,0.3300395256916996,0.8905472636815921,0.4633498023715415,45,23,22,200
S101,ok,,0.7924901185770751,0.004975124378109453,0.46190711462450595,45,23,22,200
S102,ok,,0.44861660079051385,0.5621890547263682,0.454298418972332,45,22,23,200
S103,ok,,0.4762845849802372,0.43283582089552236,0.45312252964426875,45,23,22,200
S104,ok,,0.391304347826087,0.7164179104477612,0.45359683794466404,45,23,22,200
S105,ok,,0.5615079365079365,0.24875621890547264,0.46393849206349214,45,21,24,200
S106,ok,,0.34782608695652173,0.8059701492537313,0.4708893280632411,45,22,23,200
