recording_id,subject,label,emg_mean,emg_median,emg_p90,emg_sd,n_samples,sfreq,channels
SC4001E0-PSG@W,SC4001E0-PSG,W,3.44615,3.449,3.5526,0.0755165,120,1,EMG submental
SC4001E0-PSG@N1,SC4001E0-PSG,N1,1.67458,1.378,3.2468,0.924738,120,1,EMG submental
SC4001E0-PSG@N2,SC4001E0-PSG,N2,2.32008,2.363,2.6888,0.327528,120,1,EMG submental
SC4001E0-PSG@N3,SC4001E0-PSG,N3,2.31,2.329,2.6124,0.262192,120,1,EMG submental
SC4001E0-PSG@REM,SC4001E0-PSG,REM,0.226783,0.13,0.4644,0.35088,120,1,EMG submental
SC4002E0-PSG@W,SC4002E0-PSG,W,4.27858,4.285,4.403,0.118534,120,1,EMG submental
SC4002E0-PSG@N1,SC4002E0-PSG,N1,1.27137,1.12,2.4724,0.999583,120,1,EMG submental
SC4002E0-PSG@N2,SC4002E0-PSG,N2,1.44928,1.447,1.6806,0.181158,120,1,EMG submental
SC4002E0-PSG@N3,SC4002E0-PSG,N3,0.789833,0.791,0.9564,0.16551,120,1,EMG submental
SC4002E0-PSG@REM,SC4002E0-PSG,REM,0.94175,0.648,1.4882,0.980492,120,1,EMG submental
SC4011E0-PSG@W,SC4011E0-PSG,W,3.20453,3.227,3.297,0.121671,120,1,EMG submental
SC4011E0-PSG@N1,SC4011E0-PSG,N1,2.38752,2.359,2.678,0.230436,120,1,EMG submental
SC4011E0-PSG@N2,SC4011E0-PSG,N2,0.757883,0.606,1.2242,0.518945,120,1,EMG submental
SC4011E0-PSG@N3,SC4011E0-PSG,N3,0.550133,0.576,0.8006,0.217963,120,1,EMG submental
SC4011E0-PSG@REM,SC4011E0-PSG,REM,0.271433,0.26,0.3642,0.0907606,120,1,EMG submental
SC4012E0-PSG@W,SC4012E0-PSG,W,4.83847,4.856,4.9764,0.206646,120,1,EMG submental
SC4012E0-PSG@N1,SC4012E0-PSG,N1,5.01868,5.013,5.1844,0.119831,120,1,EMG submental
SC4012E0-PSG@N2,SC4012E0-PSG,N2,3.77968,3.697,4.7708,0.523201,120,1,EMG submental
SC4012E0-PSG@N3,SC4012E0-PSG,N3,1.1041,1.098,1.3868,0.190024,120,1,EMG submental
SC4012E0-PSG@REM,SC4012E0-PSG,REM,3.3117,3.323,3.5608,0.197202,120,1,EMG submental
SC4021E0-PSG@W,SC4021E0-PSG,W,3.4136,3.419,3.4746,0.0533833,120,1,EMG submental
SC4021E0-PSG@N1,SC4021E0-PSG,N1,3.45553,3.448,3.5528,0.0704773,120,1,EMG submental
SC4021E0-PSG@N2,SC4021E0-PSG,N2,1.755,1.758,1.9892,0.179085,120,1,EMG submental
SC4021E0-PSG@N3,SC4021E0-PSG,N3,1.89653,1.87,2.2284,0.221755,120,1,EMG submental
SC4021E0-PSG@REM,SC4021E0-PSG,REM,0.405867,0.357,0.5044,0.362782,120,1,EMG submental
SC4022E0-PSG@W,SC4022E0-PSG,W,3.31473,3.315,3.3942,0.0688752,120,1,EMG submental
SC4022E0-PSG@N1,SC4022E0-PSG,N1,3.18177,3.177,3.288,0.0772054,120,1,EMG submental
SC4022E0-PSG@N2,SC4022E0-PSG,N2,3.02772,3.041,3.1882,0.133902,120,1,EMG submental
SC4022E0-PSG@N3,SC4022E0-PSG,N3,0.842117,0.814,1.0446,0.27065,120,1,EMG submental
SC4022E0-PSG@REM,SC4022E0-PSG,REM,0.624533,0.405,0.773,0.758916,120,1,EMG submental
SC4031E0-PSG@W,SC4031E0-PSG,W,3.579,3.586,3.6852,0.0945234,120,1,EMG submental
