recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
SC4001E0-PSG@N1,sleep_edfx_five_stage,SC4001E0-PSG,ok,,2,100,12000,0.7106511187,0.04241181591,0.4756353921,9.972006576,1.059664745,1.90753234,0.5099159626,0.09003204096,0.0004404451788,0.09474852967,0.5576834599,0.8747847503,18.15012176,0.7004056607,,1.800276464,0.009709097148
SC4001E0-PSG@N2,sleep_edfx_five_stage,SC4001E0-PSG,ok,,2,100,12000,0.7888936717,0.01057865413,0.3439393592,2.098854041,1.240242786,2.341712311,0.4243763141,0.2565478076,0.0003983251738,0.05267194543,0.7526339668,0.7901892673,11.32264169,0.6049917446,,2.458263739,0.09347542479
SC4001E0-PSG@N3,sleep_edfx_five_stage,SC4001E0-PSG,ok,,2,100,12000,0.9327540836,0.0009455606337,-0.09984047873,-0.2509797018,1.5073532,3.380767051,0.2383483408,0.3733774571,0.001155475197,0.01149624826,0.9410479434,0.7158237121,4.329910141,0.4031858422,,3.363562077,0.2596644781
SC4001E0-PSG@REM,sleep_edfx_five_stage,SC4001E0-PSG,ok,,2,100,12000,0.6818164368,0.03366933044,0.2760945232,1.076928242,1.439502488,1.884625057,0.5310932542,0.1474796921,0.0003386165855,0.1341955383,0.5704027943,0.8535023948,15.64503473,0.7128200346,,1.856849591,0.006327377225
SC4001E0-PSG@W,sleep_edfx_five_stage,SC4001E0-PSG,ok,,2,100,12000,0.5024255747,0.1640250182,0.2168075295,0.3690941469,-0.2061936271,1.535501786,0.5767697655,0.09471294341,0.0003449401441,0.04667744999,0.7004740181,0.634323644,32.69945322,0.6817415559,,0.9024921845,0.03714634515
SC4002E0-PSG@N1,sleep_edfx_five_stage,SC4002E0-PSG,ok,,2,100,12000,0.6692840342,0.08764703713,0.4902953991,8.340884853,1.203081178,1.663500135,0.5742783194,0.1539856034,0.0003929438422,0.1040617304,0.4480140278,0.8341651842,32.36170038,0.7906113673,,1.660275598,0.004172368579
SC4002E0-PSG@N2,sleep_edfx_five_stage,SC4002E0-PSG,ok,,2,100,12000,0.7742582446,0.01378455207,0.2721314049,1.129826822,1.47584207,2.222601955,0.4704680664,0.211851753,0.0004798896253,0.06213656169,0.7015470327,0.7529824058,12.8306406,0.6526921401,,2.228607132,0.1466338513
SC4002E0-PSG@N3,sleep_edfx_five_stage,SC4002E0-PSG,ok,,2,100,12000,0.8969212498,0.003123285679,0.01098045185,0.01919928686,1.112881439,2.962274925,0.2782114779,0.2839278482,0.001582730635,0.01505816704,0.9025216166,0.7182928466,5.740562115,0.4486001009,,2.92096004,0.04443789854
SC4002E0-PSG@REM,sleep_edfx_five_stage,SC4002E0-PSG,ok,,2,100,12000,0.6713523538,0.08481052693,0.4908668735,8.701506002,1.299129112,1.682152454,0.5651430171,0.09961394038,0.0005022411472,0.113101678,0.4713257605,0.935724474,31.02232887,0.7929710815,,1.645774668,-0.003867117537
SC4002E0-PSG@W,sleep_edfx_five_stage,SC4002E0-PSG,ok,,2,100,12000,0.5379973783,0.09873883797,0.374801342,1.86421211,0.5086442888,1.464125017,0.6162176616,0.06951176253,0.0005212689801,0.1352382457,0.5462903762,0.6220283983,36.08520304,0.764178011,,1.095879515,0.007356617452
SC4011E0-PSG@N1,sleep_edfx_five_stage,SC4011E0-PSG,ok,,2,100,12000,0.5330032128,0.06395353055,0.3530876381,1.795027333,3.519725578,1.544134439,0.5643125351,0.1172088636,0.0009255016606,0.1618227256,0.5660199083,0.8085967794,21.68846038,0.7251546423,,1.783077957,0.002047469939
SC4011E0-PSG@N2,sleep_edfx_five_stage,SC4011E0-PSG,ok,,2,100,12000,0.7761652539,0.006487473032,0.3634573302,2.576885715,3.096478837,2.307668672,0.4513669799,0.26273819,0.0004420173295,0.03066948658,0.8263092387,0.6986967472,9.348126373,0.6011376231,,2.531364493,0.2427284297
SC4011E0-PSG@N3,sleep_edfx_five_stage,SC4011E0-PSG,ok,,2,100,12000,0.9189575216,0.001521514471,0.01376272917,0.02669820243,2.289892337,3.090763086,0.2777962369,0.3584083314,0.0004913754506,0.009868884397,0.9144400081,0.7483183666,5.090069837,0.4810369968,,3.172282701,0.02122981893
SC4011E0-PSG@REM,sleep_edfx_five_stage,SC4011E0-PSG,ok,,2,100,12000,0.701652929,0.03230550252,0.2892665255,1.203747708,3.02098792,2.047817831,0.5119921676,0.190626606,0.0007057083193,0.06868902145,0.6674742647,0.9236955951,14.46078414,0.6658636599,,2.01525973,0.05181844281
SC4011E0-PSG@W,sleep_edfx_five_stage,SC4011E0-PSG,ok,,2,100,12000,0.5307697029,0.2062286155,0.3827639447,1.269113574,0.4114838041,1.760016589,0.560990607,0.08809973945,0.002036653249,0.03042369754,0.8086457565,0.5868256835,25.6024655,0.6031138585,,1.210675392,0.001978628371
SC4012E0-PSG@N1,sleep_edfx_five_stage,SC4012E0-PSG,ok,,2,100,12000,0.5992777298,0.05652924725,0.2290918829,0.6712752601,2.554256246,1.567604,0.6037604312,0.09044717081,0.0005357975801,0.2016425194,0.4638647932,0.9382963072,20.99059547,0.7610718486,,1.646462908,0.005045624645
SC4012E0-PSG@N2,sleep_edfx_five_stage,SC4012E0-PSG,ok,,2,100,12000,0.7447893331,0.009517759062,0.4199151946,4.893190525,2.389127469,2.11356117,0.456349872,0.2112210874,0.0004063021177,0.04742900365,0.7687013016,0.8888407412,13.36463769,0.6184292768,,2.403887602,0.275632083
SC4012E0-PSG@N3,sleep_edfx_five_stage,SC4012E0-PSG,ok,,2,100,12000,0.8985205953,0.002071491791,0.1244432049,0.3276949105,1.439408284,2.917661354,0.3002192516,0.3379416703,0.0007317730191,0.01339934458,0.8895642037,0.8254313219,6.098100825,0.4799257971,,3.102675764,0.07562127391
SC4012E0-PSG@REM,sleep_edfx_five_stage,SC4012E0-PSG,ok,,2,100,12000,0.6874775566,0.03032653865,0.3599957656,2.222324185,1.786249401,2.180559473,0.4866624659,0.1577569376,0.0005812901134,0.07021117283,0.6473366187,0.8847671208,12.93238157,0.6680583,,1.769781539,0.07825518889
SC4012E0-PSG@W,sleep_edfx_five_stage,SC4012E0-PSG,ok,,2,100,12000,0.6054839549,0.1686988631,0.3230666525,0.9136354944,0.07881684709,1.83574629,0.595870852,0.1550348079,0.005629861346,0.02691812744,0.7732344104,0.5764963306,15.61140702,0.6233935356,,1.274657305,0.06368235488
SC4021E0-PSG@N1,sleep_edfx_five_stage,SC4021E0-PSG,ok,,2,100,12000,0.4098876832,0.1234597574,0.256477237,0.6379874623,1.736378693,1.198683638,0.6938677308,-0.002071512959,0.0005923988051,0.3492705363,0.3467060669,0.9732322032,29.44619791,0.8193309227,,1.114230183,0.05496366596
SC4021E0-PSG@N2,sleep_edfx_five_stage,SC4021E0-PSG,ok,,2,100,12000,0.7485609287,0.007222907389,0.4111433452,4.407269688,2.319848891,2.144498101,0.45551939,0.2603931762,0.0006051455823,0.04398779965,0.768876695,0.6859930401,14.08655966,0.5911099941,,2.520250858,0.3503963354
