recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
SC4001E0-PSG@N3,sleep_edfx_staged,SC4001E0-PSG,ok,,2,100,12000,0.9327540836,0.0009455606337,-0.09984047873,-0.2509797018,1.5073532,3.380767051,0.2383483408,0.3733774571,0.001155475197,0.01149624826,0.9410479434,0.7158237121,4.329910141,0.4031858422,,3.363562077,0.2596644781
SC4001E0-PSG@W,sleep_edfx_staged,SC4001E0-PSG,ok,,2,100,12000,0.5024255747,0.1640250182,0.2168075295,0.3690941469,-0.2061936271,1.535501786,0.5767697655,0.09471294341,0.0003449401441,0.04667744999,0.7004740181,0.634323644,32.69945322,0.6817415559,,0.9024921845,0.03714634515
SC4002E0-PSG@N3,sleep_edfx_staged,SC4002E0-PSG,ok,,2,100,12000,0.8969212498,0.003123285679,0.01098045185,0.01919928686,1.112881439,2.962274925,0.2782114779,0.2839278482,0.001582730635,0.01505816704,0.9025216166,0.7182928466,5.740562115,0.4486001009,,2.92096004,0.04443789854
SC4002E0-PSG@W,sleep_edfx_staged,SC4002E0-PSG,ok,,2,100,12000,0.5379973783,0.09873883797,0.374801342,1.86421211,0.5086442888,1.464125017,0.6162176616,0.06951176253,0.0005212689801,0.1352382457,0.5462903762,0.6220283983,36.08520304,0.764178011,,1.095879515,0.007356617452
SC4011E0-PSG@N3,sleep_edfx_staged,SC4011E0-PSG,ok,,2,100,12000,0.9189575216,0.001521514471,0.01376272917,0.02669820243,2.289892337,3.090763086,0.2777962369,0.3584083314,0.0004913754506,0.009868884397,0.9144400081,0.7483183666,5.090069837,0.4810369968,,3.172282701,0.02122981893
SC4011E0-PSG@W,sleep_edfx_staged,SC4011E0-PSG,ok,,2,100,12000,0.5307697029,0.2062286155,0.3827639447,1.269113574,0.4114838041,1.760016589,0.560990607,0.08809973945,0.002036653249,0.03042369754,0.8086457565,0.5868256835,25.6024655,0.6031138585,,1.210675392,0.001978628371
SC4012E0-PSG@N3,sleep_edfx_staged,SC4012E0-PSG,ok,,2,100,12000,0.8985205953,0.002071491791,0.1244432049,0.3276949105,1.439408284,2.917661354,0.3002192516,0.3379416703,0.0007317730191,0.01339934458,0.8895642037,0.8254313219,6.098100825,0.4799257971,,3.102675764,0.07562127391
SC4012E0-PSG@W,sleep_edfx_staged,SC4012E0-PSG,ok,,2,100,12000,0.6054839549,0.1686988631,0.3230666525,0.9136354944,0.07881684709,1.83574629,0.595870852,0.1550348079,0.005629861346,0.02691812744,0.7732344104,0.5764963306,15.61140702,0.6233935356,,1.274657305,0.06368235488
SC4021E0-PSG@N3,sleep_edfx_staged,SC4021E0-PSG,ok,,2,100,12000,0.9258741519,0.0008945152235,0.01884399396,0.03819894451,1.917449697,3.284823631,0.2404245459,0.3579133441,0.0005273195204,0.007199479262,0.9380633314,0.7738424642,4.440572888,0.4193828034,,3.36102824,0.2804558653
SC4021E0-PSG@W,sleep_edfx_staged,SC4021E0-PSG,ok,,2,100,12000,0.3263863434,0.3311053814,0.4867619759,1.79656581,-0.1408947263,0.9876166854,0.7760854512,-0.07690007851,0.001759398453,0.1010493145,0.1520198653,0.7669232535,42.94831479,0.9823003352,,0.5967394266,0.03264719352
SC4022E0-PSG@N3,sleep_edfx_staged,SC4022E0-PSG,ok,,2,100,12000,0.9171377311,0.001615843441,0.2115555234,0.7285941374,-0.5212688724,3.255045641,0.24623792,0.3109822162,0.0003755394312,0.005183790351,0.952320161,0.7246183677,3.92811533,0.3783542534,,3.372189909,0.1423177418
SC4022E0-PSG@W,sleep_edfx_staged,SC4022E0-PSG,ok,,2,100,12000,0.5580016006,0.2343255183,0.4634906766,2.253681423,-0.1894116323,1.893269201,0.5011959013,0.1848092195,0.004330031546,0.01633565724,0.8591152514,0.5928969087,20.77796851,0.5685270968,,1.038434521,0.01962805385
SC4031E0-PSG@N3,sleep_edfx_staged,SC4031E0-PSG,ok,,2,100,12000,0.8795894754,0.003744394811,0.09727598466,0.2358000007,1.661669226,2.811723877,0.3118459999,0.294812854,0.0007296110766,0.01696283079,0.8790948884,0.733258559,6.313129609,0.4989198213,,2.796000118,0.09103543171
SC4031E0-PSG@W,sleep_edfx_staged,SC4031E0-PSG,ok,,2,100,12000,0.5397271653,0.1895519506,0.4317194659,2.066421586,-0.1040894168,1.406882696,0.7436966522,0.01879876582,0.002008954173,0.1039860189,0.4724355747,0.9851974682,38.4999524,0.8423500923,,0.660776312,0.05130239302
SC4032E0-PSG@N3,sleep_edfx_staged,SC4032E0-PSG,ok,,2,100,12000,0.8558505726,0.00329104978,0.1080188976,0.2702392707,2.090641888,2.739652256,0.3230575072,0.3240797042,0.0005393417365,0.02031346212,0.8732229628,0.7375432778,6.745097658,0.5054706484,,2.85906237,0.2299169518
