subject,session,n_trials,n_scored,accuracy,accuracy_odd,accuracy_even,accuracy_forced,n_artifact,age,gender,handedness
1,1,450,336,0.636905,0.630952,0.642857,0.631111,0,42,M,R
1,2,450,340,0.588235,0.611765,0.564706,0.602222,1,42,M,R
1,3,450,366,0.644809,0.628415,0.661202,0.628889,1,42,M,R
2,1,450,298,0.563758,0.550336,0.577181,0.553333,0,59,F,nan
2,2,450,349,0.790831,0.794286,0.787356,0.766667,0,59,F,nan
2,3,450,353,0.790368,0.796610,0.784091,0.755556,3,59,F,nan
3,1,450,321,0.495327,0.465839,0.525000,0.495556,0,19,F,R
3,2,450,353,0.470255,0.468927,0.471591,0.484444,0,19,F,R
3,3,450,372,0.454301,0.483871,0.424731,0.477778,3,19,F,R
4,1,450,302,0.529801,0.529801,0.529801,0.491111,5,60,F,R
4,2,450,413,0.842615,0.845411,0.839806,0.815556,0,60,F,R
4,3,450,395,0.658228,0.671717,0.644670,0.635556,2,60,F,R
5,1,450,409,0.545232,0.551220,0.539216,0.540000,6,18,M,R
5,2,450,413,0.738499,0.743961,0.733010,0.713333,0,18,M,R
