settle_ts,asset,ticker,ws,we,entry_ts,entry_mid,w,L_yes,L_no,outcome,strand_side,t_fill,dispose_mid,fee_c,pnl,status,p300_outcome,p300_dispose_mid,p300_fee_c,p300_pnl,p300_status
2026-07-12T23:23:31+00:00,ETH,KXETH15M-26JUL121930-30,1783898100,1783899000,2026-07-12T23:16:56+00:00,0.37,0.15,0.22,0.48,disposed,no,2026-07-12T23:18:31+00:00,0.455,2,0.035,settled,disposed,0.725,2,-0.235,settled
2026-07-12T23:23:35+00:00,BTC,KXBTC15M-26JUL121930-30,1783898100,1783899000,2026-07-12T23:16:56+00:00,0.345,0.15,0.195,0.505,disposed,no,2026-07-12T23:18:34+00:00,0.385,2,0.08,settled,disposed,0.675,2,-0.21,settled
2026-07-12T23:23:35+00:00,SOL,KXSOL15M-26JUL121930-30,1783898100,1783899000,2026-07-12T23:16:56+00:00,0.455,0.15,0.305,0.395,disposed,no,2026-07-12T23:18:34+00:00,0.395,2,0.18,settled,disposed,0.445,2,0.13,settled
2026-07-12T23:23:38+00:00,XRP,KXXRP15M-26JUL121930-30,1783898100,1783899000,2026-07-12T23:16:56+00:00,0.41,0.15,0.26,0.44,disposed,no,2026-07-12T23:18:38+00:00,0.54,2,-0.01,settled,disposed,0.9045,1,-0.3645,settled
2026-07-12T23:35:51+00:00,XRP,KXXRP15M-26JUL121945-45,1783899000,1783899900,2026-07-12T23:31:55+00:00,0.445,0.15,0.295,0.405,disposed,no,2026-07-12T23:34:29+00:00,0.57,2,-0.005,settled,locked,,0,0.3,settled
2026-07-12T23:35:53+00:00,SOL,KXSOL15M-26JUL121945-45,1783899000,1783899900,2026-07-12T23:31:55+00:00,0.42,0.15,0.27,0.43,disposed,no,2026-07-12T23:34:38+00:00,0.405,2,0.135,settled,locked,,0,0.3,settled
2026-07-12T23:37:36+00:00,BTC,KXBTC15M-26JUL121945-45,1783899000,1783899900,2026-07-12T23:31:55+00:00,0.345,0.15,0.195,0.505,disposed,no,2026-07-12T23:34:27+00:00,0.505,2,-0.04,settled,locked,,0,0.3,settled
2026-07-12T23:39:04+00:00,ETH,KXETH15M-26JUL121945-45,1783899000,1783899900,2026-07-12T23:31:55+00:00,0.51,0.15,0.36,0.34,disposed,no,2026-07-12T23:34:02+00:00,0.904,1,-0.264,settled,disposed,0.82,2,-0.19,settled
2026-07-13T07:38:25+00:00,BTC,KXBTC15M-26JUL122000-00,1783899900,1783900800,2026-07-12T23:46:55+00:00,0.265,0.15,0.115,0.585,expired,no,2026-07-12T23:50:28+00:00,,,,expired_unscored,,,,,expired_unscored
2026-07-13T07:38:25+00:00,ETH,KXETH15M-26JUL122000-00,1783899900,1783900800,2026-07-12T23:46:55+00:00,0.285,0.15,0.135,0.565,expired,no,2026-07-12T23:50:28+00:00,,,,expired_unscored,,,,,expired_unscored
2026-07-13T07:38:25+00:00,SOL,KXSOL15M-26JUL122000-00,1783899900,1783900800,2026-07-12T23:46:55+00:00,0.365,0.15,0.215,0.485,expired,no,2026-07-12T23:50:23+00:00,,,,expired_unscored,,,,,expired_unscored
2026-07-13T07:38:25+00:00,XRP,KXXRP15M-26JUL122000-00,1783899900,1783900800,2026-07-12T23:46:55+00:00,0.255,0.15,0.105,0.595,expired,no,2026-07-12T23:50:12+00:00,,,,expired_unscored,,,,,expired_unscored
2026-07-13T07:50:00+00:00,XRP,KXXRP15M-26JUL130400-00,1783928700,1783929600,2026-07-13T07:46:56+00:00,0.515,0.15,0.365,0.335,disposed,no,2026-07-13T07:48:14+00:00,0.615,2,0.02,settled,locked,,0,0.3,settled
2026-07-13T07:50:02+00:00,ETH,KXETH15M-26JUL130400-00,1783928700,1783929600,2026-07-13T07:46:56+00:00,0.415,0.15,0.265,0.435,disposed,no,2026-07-13T07:48:24+00:00,0.425,2,0.11,settled,locked,,0,0.3,settled
2026-07-13T07:52:50+00:00,SOL,KXSOL15M-26JUL130400-00,1783928700,1783929600,2026-07-13T07:46:56+00:00,0.385,0.15,0.235,0.465,disposed,no,2026-07-13T07:48:26+00:00,0.46,2,0.045,settled,locked,,0,0.3,settled
2026-07-13T07:53:25+00:00,BTC,KXBTC15M-26JUL130400-00,1783928700,1783929600,2026-07-13T07:46:56+00:00,0.535,0.15,0.385,0.315,disposed,no,2026-07-13T07:48:24+00:00,0.595,2,0.06,settled,disposed,0.455,2,0.2,settled
2026-07-13T08:07:34+00:00,SOL,KXSOL15M-26JUL130415-15,1783929600,1783930500,2026-07-13T08:01:56+00:00,0.735,0.15,0.585,0.115,disposed,yes,2026-07-13T08:02:33+00:00,0.395,2,-0.22,settled,disposed,0.775,2,0.16,settled
2026-07-13T08:07:43+00:00,BTC,KXBTC15M-26JUL130415-15,1783929600,1783930500,2026-07-13T08:01:56+00:00,0.685,0.15,0.535,0.165,disposed,yes,2026-07-13T08:02:41+00:00,0.325,2,-0.24,settled,disposed,0.695,2,0.13,settled
2026-07-13T08:07:43+00:00,ETH,KXETH15M-26JUL130415-15,1783929600,1783930500,2026-07-13T08:01:56+00:00,0.755,0.15,0.605,0.095,disposed,yes,2026-07-13T08:02:41+00:00,0.375,2,-0.26,settled,disposed,0.385,2,-0.25,settled
2026-07-13T08:08:21+00:00,XRP,KXXRP15M-26JUL130415-15,1783929600,1783930500,2026-07-13T08:01:56+00:00,0.705,0.15,0.555,0.145,disposed,yes,2026-07-13T08:03:20+00:00,0.785,2,0.2,settled,disposed,0.45,2,-0.135,settled
