settle_ts,snap_ts,ticker,category,entry_sell_yes,result,pnl_per_contract,vol_after_entry,status
2026-07-12T18:15:25+00:00,2026-06-20T18:52:12+00:00,KXTRUMPUFC-26JUL-DJT,Politics,0.2,no,0.2,12669109.1,settled
2026-07-12T18:15:25+00:00,2026-07-10T18:55:25+00:00,KXLOWTAUS-26JUL11-B77.5,Climate and Weather,0.14,no,0.14,723.4,settled
2026-07-13T18:54:57+00:00,2026-07-06T19:12:43+00:00,KXTRUMPPHOTO-26JUL12-4,Politics,0.09,no,0.09,23815.1,settled
2026-07-13T18:54:57+00:00,2026-07-08T18:53:47+00:00,KXTECHRANKLISTAICODE-26JUL13-CHAT,Science and Technology,0.07,yes,-0.93,63072.5,settled
2026-07-13T18:54:57+00:00,2026-07-08T18:53:47+00:00,KXTOPMODEL-26JUL13-CLAUF,Science and Technology,0.09,no,0.09,20942.5,settled
2026-07-13T18:54:57+00:00,2026-07-11T18:14:28+00:00,KXLOWTPHX-26JUL12-B87.5,Climate and Weather,0.09,no,0.09,6658.4,settled
2026-07-13T18:54:57+00:00,2026-07-11T18:14:28+00:00,KXLOWTMIA-26JUL12-B76.5,Climate and Weather,0.12,no,0.12,1093.5,settled
2026-07-13T18:54:57+00:00,2026-07-11T18:14:28+00:00,KXLOWTSFO-26JUL12-T59,Climate and Weather,0.09,no,0.09,2255.7,settled
2026-07-13T18:54:57+00:00,2026-07-11T18:14:28+00:00,KXLOWTSFO-26JUL12-B56.5,Climate and Weather,0.17,no,0.17,1209.0,settled
2026-07-14T18:36:49+00:00,2026-07-12T18:15:25+00:00,KXLOWTDC-26JUL13-T70,Climate and Weather,0.1,no,0.1,2656.9,settled
2026-07-14T18:36:49+00:00,2026-07-12T18:15:25+00:00,KXLOWTMIN-26JUL13-T75,Climate and Weather,0.11,no,0.11,1235.7,settled
2026-07-14T18:36:49+00:00,2026-07-12T18:15:25+00:00,KXHIGHNY-26JUL13-T82,Climate and Weather,0.07,no,0.07,22749.2,settled
2026-07-14T18:36:49+00:00,2026-07-12T18:15:25+00:00,KXLOWTMIA-26JUL13-T83,Climate and Weather,0.11,no,0.11,1967.3,settled
2026-07-14T18:36:49+00:00,2026-07-12T18:15:25+00:00,KXLOWTMIA-26JUL13-B76.5,Climate and Weather,0.07,no,0.07,3937.5,settled
2026-07-14T18:36:49+00:00,2026-07-12T18:15:25+00:00,KXHIGHTSFO-26JUL13-B76.5,Climate and Weather,0.14,no,0.14,25195.0,settled
2026-07-15T18:36:57+00:00,2026-06-24T19:06:49+00:00,KXBURNHAMPM-27JAN01-0711,Politics,0.06,no,0.06,5597.3,settled
2026-07-15T18:36:57+00:00,2026-06-27T18:40:57+00:00,KXGEDATOLISIB-26-ND,Science and Technology,0.07,no,0.07,632.0,settled
2026-07-15T18:36:57+00:00,2026-07-02T18:54:33+00:00,KXGEDATOLISIB-26-CA,Science and Technology,0.09,no,0.09,2488.0,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXHIGHTPHX-26JUL14-B105.5,Climate and Weather,0.07,no,0.07,132981.6,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXHIGHLAX-26JUL14-T81,Climate and Weather,0.06,no,0.06,241146.7,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXHIGHLAX-26JUL14-T74,Climate and Weather,0.06,no,0.06,30800.8,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXHIGHLAX-26JUL14-B80.5,Climate and Weather,0.08,no,0.08,40616.0,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXHIGHCHI-26JUL14-B100.5,Climate and Weather,0.09,no,0.09,12455.5,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXLOWTNYC-26JUL14-B67.5,Climate and Weather,0.11,no,0.11,847.3,settled
2026-07-15T18:36:57+00:00,2026-07-13T18:54:57+00:00,KXHIGHPHIL-26JUL14-T89,Climate and Weather,0.1,no,0.1,1511.0,settled
2026-07-16T18:38:08+00:00,2026-07-14T18:36:49+00:00,KXHIGHTSFO-26JUL15-T71,Climate and Weather,0.1,no,0.1,11363.7,settled
2026-07-16T18:38:08+00:00,2026-07-14T18:36:49+00:00,KXHIGHTSFO-26JUL15-B77.5,Climate and Weather,0.09,no,0.09,4163.0,settled
2026-07-16T18:38:08+00:00,2026-07-14T18:36:49+00:00,KXHIGHTSFO-26JUL15-B71.5,Climate and Weather,0.15,no,0.15,21300.7,settled
2026-07-16T18:38:08+00:00,2026-07-14T18:36:49+00:00,KXHIGHMIA-26JUL15-B96.5,Climate and Weather,0.11,no,0.11,11601.5,settled
2026-07-17T18:32:52+00:00,2026-07-15T18:36:57+00:00,KXHIGHLAX-26JUL16-T79,Climate and Weather,0.07,no,0.07,24503.7,settled
2026-07-17T18:32:52+00:00,2026-07-15T18:36:57+00:00,KXHIGHLAX-26JUL16-B85.5,Climate and Weather,0.07,no,0.07,123028.2,settled
