settle_ts,snap_ts,asset,ticker,ws,we,tau_s_at_entry,tail_side,tail_px,fav_side,fav_bid,fav_ask,spread,size_at_touch,taker_px,taker_fee_c,maker_px,result,settle_fav,pnl_taker,pnl_maker,status
2026-07-12T21:30:22+00:00,2026-07-12T21:05:13+00:00,XRP,KXXRP15M-26JUL121715-15,1783890000,1783890900,586.1,no,0.082,yes,0.918,0.927,0.009,2.0,0.927,1,0.917,yes,1.0,0.063,0.083,settled
2026-07-12T21:45:31+00:00,2026-07-12T21:35:23+00:00,BTC,KXBTC15M-26JUL121745-45,1783891800,1783892700,576.2,yes,0.13,no,0.87,0.88,0.01,1635.9,0.88,1,0.87,no,1.0,0.11,0.13,settled
2026-07-12T21:45:31+00:00,2026-07-12T21:35:44+00:00,ETH,KXETH15M-26JUL121745-45,1783891800,1783892700,556.0,yes,0.15,no,0.85,0.87,0.02,385.77,0.87,1,0.86,no,1.0,0.12,0.14,settled
2026-07-12T22:00:19+00:00,2026-07-12T21:50:12+00:00,BTC,KXBTC15M-26JUL121800-00,1783892700,1783893600,587.8,yes,0.15,no,0.85,0.86,0.01,23.01,0.86,1,0.85,no,1.0,0.13,0.15,settled
2026-07-12T22:00:19+00:00,2026-07-12T21:51:13+00:00,XRP,KXXRP15M-26JUL121800-00,1783892700,1783893600,526.9,yes,0.15,no,0.85,0.87,0.02,2.48,0.87,1,0.86,no,1.0,0.12,0.14,settled
2026-07-12T23:34:06+00:00,2026-07-12T22:05:00+00:00,XRP,KXXRP15M-26JUL121815-15,1783893600,1783894500,599.5,yes,0.11,no,0.89,0.9,0.01,10.0,0.9,1,0.89,no,1.0,0.09,0.11,settled
2026-07-12T23:34:06+00:00,2026-07-12T22:05:20+00:00,BTC,KXBTC15M-26JUL121815-15,1783893600,1783894500,579.2,yes,0.08,no,0.92,0.924,0.004,51.01,0.924,1,0.914,no,1.0,0.066,0.086,settled
2026-07-12T23:45:31+00:00,2026-07-12T23:35:07+00:00,ETH,KXETH15M-26JUL121945-45,1783899000,1783899900,592.7,no,0.096,yes,0.904,0.909,0.005,4.0,0.909,1,0.899,yes,1.0,0.081,0.101,settled
2026-07-13T00:15:25+00:00,2026-07-13T00:05:19+00:00,BTC,KXBTC15M-26JUL122015-15,1783900800,1783901700,580.1,no,0.075,yes,0.925,0.928,0.003,25.0,0.928,1,0.918,yes,1.0,0.062,0.082,settled
2026-07-13T00:15:25+00:00,2026-07-13T00:05:40+00:00,XRP,KXXRP15M-26JUL122015-15,1783900800,1783901700,559.8,no,0.1,yes,0.9,0.913,0.013,0.85,0.913,1,0.903,yes,1.0,0.077,0.097,settled
