ts,city,station,event,bracket,lo,hi,nbm_high,nbm_sigma,nbm_p,k_yes_bid,k_yes_ask,k_mid,actual_high,settled,nbm_cycle,entry_prob,fee,edge,signal,outcome,pnl
2026-06-15T19:55:38.953951,NYC,KNYC,KXHIGHNY-26JUN16,74° or below,,74,78,2,0.0401,6,7,6.5,76,no,18,0.0700,0.0046,-0.0299,0,0,-0.0746
2026-06-15T19:55:38.953951,NYC,KNYC,KXHIGHNY-26JUN16,75° to 76°,75,76,78,2,0.1866,35,37,36.0,76,yes,18,0.3700,0.0163,-0.1834,0,1,0.6137
2026-06-15T19:55:38.953951,NYC,KNYC,KXHIGHNY-26JUN16,77° to 78°,77,78,78,2,0.3721,47,48,47.5,76,no,18,0.4800,0.0175,-0.1079,0,0,-0.4975
2026-06-15T19:55:38.953951,NYC,KNYC,KXHIGHNY-26JUN16,79° to 80°,79,80,78,2,0.2956,7,8,7.5,76,no,18,0.0800,0.0052,0.2156,1,0,-0.0852
2026-06-15T19:55:38.953951,NYC,KNYC,KXHIGHNY-26JUN16,81° to 82°,81,82,78,2,0.0934,2,3,2.5,76,no,18,0.0300,0.0020,0.0634,1,0,-0.0320
2026-06-15T19:55:38.953951,NYC,KNYC,KXHIGHNY-26JUN16,83° or above,83,,78,2,0.0122,1,2,1.5,76,no,18,0.0200,0.0014,-0.0078,0,0,-0.0214
2026-06-15T19:55:38.953951,CHI,KMDW,KXHIGHCHI-26JUN16,70° or below,,70,75,3,0.0668,6,7,6.5,77,no,18,0.0700,0.0046,-0.0032,0,0,-0.0746
2026-06-15T19:55:38.953951,CHI,KMDW,KXHIGHCHI-26JUN16,71° to 72°,71,72,75,3,0.1355,16,18,17.0,77,no,18,0.1800,0.0103,-0.0445,0,0,-0.1903
2026-06-15T19:55:38.953951,CHI,KMDW,KXHIGHCHI-26JUN16,73° to 74°,73,74,75,3,0.2315,47,48,47.5,77,no,18,0.4800,0.0175,-0.2485,0,0,-0.4975
2026-06-15T19:55:38.953951,CHI,KMDW,KXHIGHCHI-26JUN16,75° to 76°,75,76,75,3,0.2576,21,23,22.0,77,no,18,0.2300,0.0124,0.0276,1,0,-0.2424
2026-06-15T19:55:38.953951,CHI,KMDW,KXHIGHCHI-26JUN16,77° to 78°,77,78,75,3,0.1869,5,6,5.5,77,yes,18,0.0600,0.0039,0.1269,1,1,0.9361
2026-06-15T19:55:38.953951,CHI,KMDW,KXHIGHCHI-26JUN16,79° or above,79,,75,3,0.1217,,1,,77,no,18,0.0100,0.0007,0.1117,1,0,-0.0107
2026-06-15T19:55:38.953951,MIA,KMIA,KXHIGHMIA-26JUN16,87° or below,,87,92,1,0.0,,1,,95,no,18,0.0100,0.0007,-0.0100,0,0,-0.0107
2026-06-15T19:55:38.953951,MIA,KMIA,KXHIGHMIA-26JUN16,88° to 89°,88,89,92,1,0.0062,1,2,1.5,95,no,18,0.0200,0.0014,-0.0138,0,0,-0.0214
2026-06-15T19:55:38.953951,MIA,KMIA,KXHIGHMIA-26JUN16,90° to 91°,90,91,92,1,0.3023,13,14,13.5,95,no,18,0.1400,0.0084,0.1623,1,0,-0.1484
2026-06-15T19:55:38.953951,MIA,KMIA,KXHIGHMIA-26JUN16,92° to 93°,92,93,92,1,0.6247,56,58,57.0,95,no,18,0.5800,0.0171,0.0447,1,0,-0.5971
2026-06-15T19:55:38.953951,MIA,KMIA,KXHIGHMIA-26JUN16,94° to 95°,94,95,92,1,0.0666,27,28,27.5,95,yes,18,0.2800,0.0141,-0.2134,0,1,0.7059
2026-06-15T19:55:38.953951,MIA,KMIA,KXHIGHMIA-26JUN16,96° or above,96,,92,1,0.0002,5,7,6.0,95,no,18,0.0700,0.0046,-0.0698,0,0,-0.0746
2026-06-15T19:55:38.953951,AUS,KAUS,KXHIGHAUS-26JUN16,83° or below,,83,85,3,0.3085,7,10,8.5,91,no,18,0.1000,0.0063,0.2085,1,0,-0.1063
2026-06-15T19:55:38.953951,AUS,KAUS,KXHIGHAUS-26JUN16,84° to 85°,84,85,85,3,0.2576,22,23,22.5,91,no,18,0.2300,0.0124,0.0276,1,0,-0.2424
2026-06-15T19:55:38.953951,AUS,KAUS,KXHIGHAUS-26JUN16,86° to 87°,86,87,85,3,0.2315,37,38,37.5,91,no,18,0.3800,0.0165,-0.1485,0,0,-0.3965
2026-06-15T19:55:38.953951,AUS,KAUS,KXHIGHAUS-26JUN16,88° to 89°,88,89,85,3,0.1355,28,29,28.5,91,no,18,0.2900,0.0144,-0.1545,0,0,-0.3044
2026-06-15T19:55:38.953951,AUS,KAUS,KXHIGHAUS-26JUN16,90° to 91°,90,91,85,3,0.0517,5,6,5.5,91,yes,18,0.0600,0.0039,-0.0083,0,1,0.9361
2026-06-15T19:55:38.953951,AUS,KAUS,KXHIGHAUS-26JUN16,92° or above,92,,85,3,0.0151,,2,,91,no,18,0.0200,0.0014,-0.0049,0,0,-0.0214
2026-06-15T19:55:38.953951,LAX,KLAX,KXHIGHLAX-26JUN16,66° or below,,66,72,1,0.0,,1,,70,no,18,0.0100,0.0007,-0.0100,0,0,-0.0107
2026-06-15T19:55:38.953951,LAX,KLAX,KXHIGHLAX-26JUN16,67° to 68°,67,68,72,1,0.0002,,1,,70,no,18,0.0100,0.0007,-0.0098,0,0,-0.0107
2026-06-15T19:55:38.953951,LAX,KLAX,KXHIGHLAX-26JUN16,69° to 70°,69,70,72,1,0.0666,26,28,27.0,70,yes,18,0.2800,0.0141,-0.2134,0,1,0.7059
2026-06-15T19:55:38.953951,LAX,KLAX,KXHIGHLAX-26JUN16,71° to 72°,71,72,72,1,0.6247,50,51,50.5,70,no,18,0.5100,0.0175,0.1147,1,0,-0.5275
2026-06-15T19:55:38.953951,LAX,KLAX,KXHIGHLAX-26JUN16,73° to 74°,73,74,72,1,0.3023,21,23,22.0,70,no,18,0.2300,0.0124,0.0723,1,0,-0.2424
2026-06-15T19:55:38.953951,LAX,KLAX,KXHIGHLAX-26JUN16,75° or above,75,,72,1,0.0062,3,7,5.0,70,no,18,0.0700,0.0046,-0.0638,0,0,-0.0746
2026-06-15T19:55:38.953951,PHX,KPHX,KXHIGHTPHX-26JUN16,106° or below,,106,111,2,0.0122,1,2,1.5,112,no,18,0.0200,0.0014,-0.0078,0,0,-0.0214
2026-06-15T19:55:38.953951,PHX,KPHX,KXHIGHTPHX-26JUN16,107° to 108°,107,108,111,2,0.0934,2,3,2.5,112,no,18,0.0300,0.0020,0.0634,1,0,-0.0320
2026-06-15T19:55:38.953951,PHX,KPHX,KXHIGHTPHX-26JUN16,109° to 110°,109,110,111,2,0.2956,33,34,33.5,112,no,18,0.3400,0.0157,-0.0444,0,0,-0.3557
2026-06-15T19:55:38.953951,PHX,KPHX,KXHIGHTPHX-26JUN16,111° to 112°,111,112,111,2,0.3721,59,60,59.5,112,yes,18,0.6000,0.0168,-0.2279,0,1,0.3832
2026-06-15T19:55:38.953951,PHX,KPHX,KXHIGHTPHX-26JUN16,113° to 114°,113,114,111,2,0.1866,4,5,4.5,112,no,18,0.0500,0.0033,0.1366,1,0,-0.0533
2026-06-15T19:55:38.953951,PHX,KPHX,KXHIGHTPHX-26JUN16,115° or above,115,,111,2,0.0401,,2,,112,no,18,0.0200,0.0014,0.0201,1,0,-0.0214
2026-06-15T19:55:38.953951,DAL,KDFW,KXHIGHTDAL-26JUN16,87° or below,,87,90,3,0.2023,8,9,8.5,91,no,18,0.0900,0.0057,0.1123,1,0,-0.0957
2026-06-15T19:55:38.953951,DAL,KDFW,KXHIGHTDAL-26JUN16,88° to 89°,88,89,90,3,0.2315,24,28,26.0,91,no,18,0.2800,0.0141,-0.0485,0,0,-0.2941
2026-06-15T19:55:38.953951,DAL,KDFW,KXHIGHTDAL-26JUN16,90° to 91°,90,91,90,3,0.2576,43,46,44.5,91,yes,18,0.4600,0.0174,-0.2024,0,1,0.5226
2026-06-15T19:55:38.953951,DAL,KDFW,KXHIGHTDAL-26JUN16,92° to 93°,92,93,90,3,0.1869,16,17,16.5,91,no,18,0.1700,0.0099,0.0169,1,0,-0.1799
2026-06-15T19:55:38.953951,DAL,KDFW,KXHIGHTDAL-26JUN16,94° to 95°,94,95,90,3,0.0883,2,3,2.5,91,no,18,0.0300,0.0020,0.0583,1,0,-0.0320
